Comb version 0.3.1
Args  /home/lemter/comb/run_mpi/comb;256_128_128;-divide;16_8_8;-periodic;1_1_1;-ghost;1_1_1;-vars;3;-cycles;1000;-comm;cutoff;250;-exec;enable;omp;-omp_threads;2;-comm;enable;mpi;-comm;enable;mpi_persistent;-comm;enable;mpi_partitioned;-comm;disallow;per_message_pack_fusing;-comm;disallow;message_group_pack_fusing;-exec;enable;omp;-exec;disable;seq
Started rank 0 of 1024
Node cpu0610
Compiler "/apps/easybuild/core/software/OpenMPI/5.0.3-GCC-13.3.0/bin/mpicxx"
OMP num threads     2
OMP thread map      0;1
Cart coords         0        0        0
Message policy cutoff 250
Post Recv using wait_all method
Post Send using wait_all method
Wait Recv using wait_all method
Wait Send using wait_all method
Num cycles       1000
Num vars            3
ghost_widths        1        1        1
sizes             256      128      128
divisions          16        8        8
periodic            1        1        1
division map
map                 0        0        0
map                16       16       16
map                32       32       32
map                48       48       48
map                64       64       64
map                80       80       80
map                96       96       96
map               112      112      112
map               128      128      128
map               144                  
map               160                  
map               176                  
map               192                  
map               208                  
map               224                  
map               240                  
map               256                  
Starting test memcpy omp dst Host src Host
                  ,    number,  average(s),      min(s),      max(s)
copy_sync-3-5832-8,   1024000, 0.000005766, 0.000004260, 0.000056362
Starting test Comm mock Mesh omp Host Buffers omp Host omp Host
          ,    number,  average(s),      min(s),      max(s)
pre-comm  ,   1024000, 0.000004225, 0.000003283, 0.000042045
post-recv ,   1024000, 0.000001057, 0.000000419, 0.000032127
post-send ,   1024000, 0.000049358, 0.000043480, 0.001711780
wait-recv ,   1024000, 0.000048693, 0.000042720, 0.000658769
wait-send ,   1024000, 0.000001079, 0.000000489, 0.000031149
post-comm ,   1024000, 0.000005012, 0.000004150, 0.000122230
start-up  ,      1024, 0.001605445, 0.000370440, 0.003374731
bench-comm,      1024, 0.135108004, 0.135078538, 0.135123053
Starting test Comm mpi Mesh omp Host Buffers omp Host omp Host
          ,    number,  average(s),      min(s),      max(s)
pre-comm  ,   1024000, 0.000004462, 0.000003213, 0.000043511
post-recv ,   1024000, 0.000002489, 0.000001397, 0.007726159
post-send ,   1024000, 0.000145068, 0.000053540, 0.122257394
wait-recv ,   1024000, 0.000151302, 0.000056960, 0.081323330
wait-send ,   1024000, 0.000002177, 0.000000978, 0.011535190
post-comm ,   1024000, 0.000005198, 0.000003771, 0.000042030
start-up  ,      1024, 0.001080929, 0.000362879, 0.001856280
bench-comm,      1024, 0.313138281, 0.313127964, 0.313151638
Starting test Comm mpi_persistent Mesh omp Host Buffers omp Host omp Host
                       ,    number,  average(s),      min(s),      max(s)
init-persistent-comm   ,      1024, 0.000022815, 0.000009560, 0.000086114
pre-comm               ,   1024000, 0.000004435, 0.000003213, 0.000047130
post-recv              ,   1024000, 0.000001479, 0.000000908, 0.000052590
post-send              ,   1024000, 0.000061206, 0.000051120, 0.004323209
wait-recv              ,   1024000, 0.000105993, 0.000049910, 0.004275409
wait-send              ,   1024000, 0.000000765, 0.000000240, 0.002114144
post-comm              ,   1024000, 0.000005190, 0.000003772, 0.000773450
cleanup-persistent-comm,      1024, 0.000008394, 0.000005260, 0.000021430
start-up               ,      1024, 0.001213721, 0.000376319, 0.002276673
bench-comm             ,      1024, 0.181680666, 0.181671626, 0.181688761
Starting test Comm mpi_partitioned Mesh omp Host Buffers omp Host omp Host
                        ,    number,  average(s),      min(s),      max(s)
init-partitioned-commm  ,      1024, 0.000032176, 0.000027709, 0.000042070
pre-comm                ,   1024000, 0.000004587, 0.000003282, 0.000197650
post-recv               ,   1024000, 0.000002843, 0.000000530, 0.000068789
post-send               ,   1024000, 0.000043615, 0.000023510, 0.001935580
wait-recv               ,   1024000, 0.000076849, 0.000028100, 0.008625023
wait-send               ,   1024000, 0.000001033, 0.000000250, 0.002840077
post-comm               ,   1024000, 0.000005265, 0.000004160, 0.000051543
cleanup-partitioned-comm,      1024, 0.000004340, 0.000003160, 0.000013350
start-up                ,      1024, 0.000971255, 0.000335370, 0.001714375
bench-comm              ,      1024, 0.136764550, 0.136755845, 0.136768983
