Comb version 0.3.1
Args  /home/lemter/comb/run_mpi/comb;512_256_256;-divide;16_8_8;-periodic;1_1_1;-ghost;1_1_1;-vars;3;-cycles;1000;-comm;cutoff;250;-exec;enable;omp;-omp_threads;2;-comm;enable;mpi;-comm;enable;mpi_persistent;-comm;enable;mpi_partitioned;-comm;disallow;per_message_pack_fusing;-comm;disallow;message_group_pack_fusing;-exec;enable;omp;-exec;disable;seq
Started rank 0 of 1024
Node cpu0008
Compiler "/apps/easybuild/core/software/OpenMPI/5.0.3-GCC-13.3.0/bin/mpicxx"
OMP num threads     2
OMP thread map      0;1
Cart coords         0        0        0
Message policy cutoff 250
Post Recv using wait_all method
Post Send using wait_all method
Wait Recv using wait_all method
Wait Send using wait_all method
Num cycles       1000
Num vars            3
ghost_widths        1        1        1
sizes             512      256      256
divisions          16        8        8
periodic            1        1        1
division map
map                 0        0        0
map                32       32       32
map                64       64       64
map                96       96       96
map               128      128      128
map               160      160      160
map               192      192      192
map               224      224      224
map               256      256      256
map               288                  
map               320                  
map               352                  
map               384                  
map               416                  
map               448                  
map               480                  
map               512                  
Starting test memcpy omp dst Host src Host
                   ,    number,  average(s),      min(s),      max(s)
copy_sync-3-39304-8,   1024000, 0.000038622, 0.000022120, 0.000256490
Starting test Comm mock Mesh omp Host Buffers omp Host omp Host
          ,    number,  average(s),      min(s),      max(s)
pre-comm  ,   1024000, 0.000018143, 0.000015470, 0.000224770
post-recv ,   1024000, 0.000001239, 0.000000720, 0.000036526
post-send ,   1024000, 0.000065259, 0.000055699, 0.000279470
wait-recv ,   1024000, 0.000063198, 0.000053579, 0.001246175
wait-send ,   1024000, 0.000001229, 0.000000489, 0.000025562
post-comm ,   1024000, 0.000019909, 0.000016900, 0.002587976
start-up  ,      1024, 0.001763448, 0.000399140, 0.003435885
bench-comm,      1024, 0.196969187, 0.196896074, 0.196980671
Starting test Comm mpi Mesh omp Host Buffers omp Host omp Host
          ,    number,  average(s),      min(s),      max(s)
pre-comm  ,   1024000, 0.000018617, 0.000015100, 0.000470180
post-recv ,   1024000, 0.000003121, 0.000002090, 0.008945525
post-send ,   1024000, 0.000161703, 0.000056292, 0.119595071
wait-recv ,   1024000, 0.000244389, 0.000079220, 0.073466734
wait-send ,   1024000, 0.000002476, 0.000001180, 0.013815230
post-comm ,   1024000, 0.000021886, 0.000016770, 0.000072070
start-up  ,      1024, 0.001188123, 0.000445469, 0.002034903
bench-comm,      1024, 0.454246420, 0.454227945, 0.454260491
Starting test Comm mpi_persistent Mesh omp Host Buffers omp Host omp Host
                       ,    number,  average(s),      min(s),      max(s)
init-persistent-comm   ,      1024, 0.000025509, 0.000010490, 0.000073470
pre-comm               ,   1024000, 0.000018550, 0.000015930, 0.000072069
post-recv              ,   1024000, 0.000001860, 0.000001240, 0.000063310
post-send              ,   1024000, 0.000078803, 0.000063810, 0.006765218
wait-recv              ,   1024000, 0.000201567, 0.000064940, 0.006536728
wait-send              ,   1024000, 0.000001327, 0.000000330, 0.003499629
post-comm              ,   1024000, 0.000022539, 0.000017140, 0.000073090
cleanup-persistent-comm,      1024, 0.000008408, 0.000005990, 0.000020394
start-up               ,      1024, 0.001346136, 0.000383428, 0.002358548
bench-comm             ,      1024, 0.326884490, 0.326864385, 0.326889392
Starting test Comm mpi_partitioned Mesh omp Host Buffers omp Host omp Host
                        ,    number,  average(s),      min(s),      max(s)
init-partitioned-commm  ,      1024, 0.000034072, 0.000027240, 0.000106350
pre-comm                ,   1024000, 0.000018655, 0.000015860, 0.000280640
post-recv               ,   1024000, 0.000003809, 0.000000630, 0.000065302
post-send               ,   1024000, 0.000062515, 0.000036450, 0.001166431
wait-recv               ,   1024000, 0.000161799, 0.000045670, 0.008728295
wait-send               ,   1024000, 0.000003225, 0.000000320, 0.003705461
post-comm               ,   1024000, 0.000023749, 0.000017070, 0.000257409
cleanup-partitioned-comm,      1024, 0.000005539, 0.000003920, 0.000011020
start-up                ,      1024, 0.001244762, 0.000388944, 0.002298067
bench-comm              ,      1024, 0.275794361, 0.275624804, 0.275812271
