Comb version 0.3.1
Args  /home/lemter/comb/run_mpi/comb;2048_4096_4096;-divide;4_4_4;-periodic;1_1_1;-ghost;1_1_1;-vars;3;-cycles;1000;-comm;cutoff;250;-exec;enable;omp;-omp_threads;32;-comm;enable;mpi;-comm;enable;mpi_persistent;-comm;enable;mpi_partitioned;-comm;disallow;per_message_pack_fusing;-comm;disallow;message_group_pack_fusing;-exec;enable;omp;-exec;disable;seq
Started rank 0 of 64
Node cpu0610
Compiler "/apps/easybuild/core/software/OpenMPI/5.0.3-GCC-13.3.0/bin/mpicxx"
OMP num threads    32
OMP thread map      0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31
Cart coords         0        0        0
Message policy cutoff 250
Post Recv using wait_all method
Post Send using wait_all method
Wait Recv using wait_all method
Wait Send using wait_all method
Num cycles       1000
Num vars            3
ghost_widths        1        1        1
sizes            2048     4096     4096
divisions           4        4        4
periodic            1        1        1
division map
map                 0        0        0
map               512     1024     1024
map              1024     2048     2048
map              1536     3072     3072
map              2048     4096     4096
Starting test memcpy omp dst Host src Host
                       ,    number,  average(s),      min(s),      max(s)
copy_sync-3-541075464-8,     64000, 0.499765161, 0.497483506, 0.504772307
Starting test Comm mock Mesh omp Host Buffers omp Host omp Host
          ,    number,  average(s),      min(s),      max(s)
pre-comm  ,     64000, 0.340363450, 0.338278006, 0.345135422
post-recv ,     64000, 0.000099696, 0.000038870, 0.001100039
post-send ,     64000, 0.023505267, 0.020901170, 0.028833264
wait-recv ,     64000, 0.016342180, 0.015011705, 0.024516481
wait-send ,     64000, 0.001289968, 0.000578749, 0.002846905
post-comm ,     64000, 0.340656000, 0.338586420, 0.345082855
start-up  ,        64, 0.404721372, 0.400305608, 0.409664666
bench-comm,        64, 726.302277060, 726.302220257, 726.302360480
Starting test Comm mpi Mesh omp Host Buffers omp Host omp Host
          ,    number,  average(s),      min(s),      max(s)
pre-comm  ,     64000, 0.340337417, 0.338077681, 0.344269922
post-recv ,     64000, 0.000013367, 0.000008810, 0.000926889
post-send ,     64000, 0.013057881, 0.011994725, 0.135064780
wait-recv ,     64000, 0.056830284, 0.030511597, 0.142932279
wait-send ,     64000, 0.002133483, 0.000005300, 0.009645277
post-comm ,     64000, 0.340428196, 0.337449743, 0.343078353
start-up  ,        64, 0.403894425, 0.400715704, 0.406184520
bench-comm,        64, 752.831310851, 752.831211200, 752.831472750
Starting test Comm mpi_persistent Mesh omp Host Buffers omp Host omp Host
                       ,    number,  average(s),      min(s),      max(s)
init-persistent-comm   ,        64, 0.000024638, 0.000018780, 0.000032616
pre-comm               ,     64000, 0.340330533, 0.338370602, 0.344026224
post-recv              ,     64000, 0.000006465, 0.000003920, 0.000079549
post-send              ,     64000, 0.014274073, 0.013297702, 0.023668160
wait-recv              ,     64000, 0.039022073, 0.025172665, 0.092263576
wait-send              ,     64000, 0.000048781, 0.000001650, 0.045446165
post-comm              ,     64000, 0.340370696, 0.337550595, 0.344285725
cleanup-persistent-comm,        64, 0.000017133, 0.000014310, 0.000034083
start-up               ,        64, 0.399170250, 0.396653035, 0.401467856
bench-comm             ,        64, 734.086479624, 734.086328523, 734.086569560
Starting test Comm mpi_partitioned Mesh omp Host Buffers omp Host omp Host
                        ,    number,  average(s),      min(s),      max(s)
init-partitioned-commm  ,        64, 0.000057050, 0.000050170, 0.000085771
pre-comm                ,     64000, 0.340554568, 0.338104152, 0.345037833
post-recv               ,     64000, 0.000087932, 0.000002080, 0.000549130
post-send               ,     64000, 0.015017615, 0.013127879, 0.020361872
wait-recv               ,     64000, 0.050158451, 0.025553809, 0.087738696
wait-send               ,     64000, 0.001532148, 0.000002230, 0.007209264
post-comm               ,     64000, 0.340402648, 0.337427882, 0.344941189
cleanup-partitioned-comm,        64, 0.000012755, 0.000010980, 0.000020560
start-up                ,        64, 0.399726422, 0.396946808, 0.403818190
bench-comm              ,        64, 747.774434247, 747.774363349, 747.774549139
