Comb version 0.3.1
Args  /home/lemter/comb/run_mpi/comb;4096_4096_4096;-divide;8_8_8;-periodic;1_1_1;-ghost;1_1_1;-vars;3;-cycles;1000;-comm;cutoff;250;-exec;enable;omp;-omp_threads;2;-comm;enable;mpi;-comm;enable;mpi_persistent;-comm;enable;mpi_partitioned;-comm;disallow;per_message_pack_fusing;-comm;disallow;message_group_pack_fusing;-exec;enable;omp;-exec;disable;seq
Started rank 0 of 512
Node cpu0617
Compiler "/apps/easybuild/core/software/OpenMPI/5.0.3-GCC-13.3.0/bin/mpicxx"
OMP num threads     2
OMP thread map      0;1
Cart coords         0        0        0
Message policy cutoff 250
Post Recv using wait_all method
Post Send using wait_all method
Wait Recv using wait_all method
Wait Send using wait_all method
Num cycles       1000
Num vars            3
ghost_widths        1        1        1
sizes            4096     4096     4096
divisions           8        8        8
periodic            1        1        1
division map
map                 0        0        0
map               512      512      512
map              1024     1024     1024
map              1536     1536     1536
map              2048     2048     2048
map              2560     2560     2560
map              3072     3072     3072
map              3584     3584     3584
map              4096     4096     4096
Starting test memcpy omp dst Host src Host
                       ,    number,  average(s),      min(s),      max(s)
copy_sync-3-135796744-8,    512000, 1.409502432, 0.269557105, 2.029994268
Starting test Comm mock Mesh omp Host Buffers omp Host omp Host
          ,    number,  average(s),      min(s),      max(s)
pre-comm  ,    512000, 1.340276445, 0.157710476, 1.424538874
post-recv ,    512000, 0.000595464, 0.000043092, 0.011565815
post-send ,    512000, 0.074931350, 0.010625316, 0.103582247
wait-recv ,    512000, 0.060470050, 0.008739828, 0.073394609
wait-send ,    512000, 0.001733050, 0.000158540, 0.006945760
post-comm ,    512000, 1.352001778, 0.158857265, 1.436803240
start-up  ,       512, 1.597757270, 1.546434619, 1.636403257
bench-comm,       512, 2852.799529292, 2852.799298780, 2852.801342729
Starting test Comm mpi Mesh omp Host Buffers omp Host omp Host
          ,    number,  average(s),      min(s),      max(s)
pre-comm  ,    512000, 0.964110047, 0.273933247, 1.404146707
post-recv ,    512000, 0.000052602, 0.000010476, 0.007441131
post-send ,    512000, 0.026631587, 0.007420878, 0.241168199
wait-recv ,    512000, 0.821330282, 0.039059343, 2.241849937
wait-send ,    512000, 0.000312243, 0.000006215, 0.031934438
post-comm ,    512000, 1.014681765, 0.208273465, 1.427443977
start-up  ,       512, 1.562804918, 1.535396627, 1.574374475
bench-comm,       512, 2827.705686328, 2827.705570946, 2827.705847976
Starting test Comm mpi_persistent Mesh omp Host Buffers omp Host omp Host
                       ,    number,  average(s),      min(s),      max(s)
init-persistent-comm   ,       512, 0.000071491, 0.000022699, 0.001712148
pre-comm               ,    512000, 0.962346169, 0.325095916, 1.399832810
post-recv              ,    512000, 0.000034501, 0.000005657, 0.000185079
post-send              ,    512000, 0.025761016, 0.007509310, 0.072274953
wait-recv              ,    512000, 0.792058678, 0.030848541, 1.955890956
wait-send              ,    512000, 0.000015522, 0.000003352, 0.005709987
post-comm              ,    512000, 1.022798043, 0.398383592, 1.426711112
cleanup-persistent-comm,       512, 0.000051683, 0.000014178, 0.002490529
start-up               ,       512, 1.558993831, 1.540731117, 1.569383082
bench-comm             ,       512, 2803.545210547, 2803.545020125, 2803.545295141
Starting test Comm mpi_partitioned Mesh omp Host Buffers omp Host omp Host
                        ,    number,  average(s),      min(s),      max(s)
init-partitioned-commm  ,       512, 0.000102238, 0.000083320, 0.000672289
pre-comm                ,    512000, 0.964970388, 0.321666764, 1.396901082
post-recv               ,    512000, 0.000057777, 0.000008101, 0.000604126
post-send               ,    512000, 0.026151136, 0.008155604, 0.068024538
wait-recv               ,    512000, 0.792194826, 0.038276039, 1.934638447
wait-send               ,    512000, 0.000122910, 0.000003282, 0.038053159
post-comm               ,    512000, 1.021388689, 0.417255647, 1.424824534
cleanup-partitioned-comm,       512, 0.000044709, 0.000012780, 0.002407209
start-up                ,       512, 1.559893669, 1.543369006, 1.570792736
bench-comm              ,       512, 2805.463531331, 2805.463482029, 2805.463677252
